Iteration,Entropy Level,Input Size,Entropy,Compression Time (s),Compression Rate,Dictionary Size
152,2,936299,0.9999990841582547,0.1527721881866455,0.1495718782141175,65536
153,4,320210,2.5849349169028852,0.06369280815124512,0.3857281159239249,62012
154,5,578130,3.2465416443262303,0.1150672435760498,0.46223859685537855,65536
155,9,554076,6.554487359528944,0.13679885864257812,0.9878861383636902,65536
156,1,810058,2.601092740669578e-05,0.3270907402038574,0.00216249947534621,1529
157,5,977687,3.2463694073939093,0.18826699256896973,0.4531409336525902,65536
158,1,121530,0.00015085692479733782,0.026776790618896484,0.005091335472722784,750
159,8,809293,6.5545027771029005,0.2010941505432129,0.9816716566188018,65536
160,9,178277,6.5542110565152205,0.05018210411071777,1.0292858865697763,65536
161,4,496373,2.584954290179081,0.09424996376037598,0.3717776183991039,65536
162,2,737301,0.9999999998925171,0.12163376808166504,0.15302027258880702,56666
163,8,794565,6.5545052618758675,0.19372010231018066,0.9819058226828516,65536
164,3,236799,1.9999404034911727,0.04469013214111328,0.3112552576901637,37107
165,4,713665,2.5849578086545395,0.1339559555053711,0.36409851134427407,65536
166,7,481474,5.42528675104122,0.11494016647338867,0.8130532489812534,65536
167,6,177443,4.565889143249435,0.045432090759277344,0.7180221254149219,63959
168,5,45408,3.251364596512619,0.01068115234375,0.5156580338266384,13635
169,2,310600,0.9999994468033977,0.051035165786743164,0.15683958467482292,26236
170,5,653409,3.2464868613405757,0.12882399559020996,0.45977634222975194,65536
171,5,156836,3.2447134534117628,0.0346369743347168,0.5135938177459257,40530
172,9,254516,6.5543473071164176,0.06683897972106934,1.0106162284492919,65536
173,2,715818,0.9999998114174504,0.11785888671875,0.15346638391322934,55182
174,1,698949,2.9841303802196254e-05,0.26943016052246094,0.0023292147627577446,1439
175,8,78466,6.553481751773466,0.0238800048828125,1.1020569418601687,43492
176,3,120776,1.9999015467009909,0.022477149963378906,0.3125879727760482,20390
177,4,312880,2.5849472685330404,0.06154799461364746,0.38663385323446686,60740
178,4,818571,2.5849575791775097,0.15175223350524902,0.3618847502351662,65536
179,1,616964,3.351495493482268e-05,0.22913575172424316,0.0024782645340733008,1367
180,3,274211,1.999987539244227,0.04981517791748047,0.30661395728789825,42293
181,5,544726,3.2465198135005195,0.1086721420288086,0.4634293204289863,65536
182,7,897428,5.481202856463641,0.21046209335327148,0.8078419661521593,65536
183,6,267436,4.368941986998521,0.06301498413085938,0.6628800909376449,65536
184,6,775025,4.2567903403750975,0.1639111042022705,0.6140189026160446,65536
185,2,788834,0.9999993957067309,0.13077616691589355,0.152047198776929,60225
186,4,343097,2.5849401530035765,0.06819295883178711,0.3832047007251615,65536
187,4,997685,2.584959863365271,0.18335700035095215,0.3590976702041929,65536
